"","date","hits","keyword","geo","gprop","category","hits_backup","datetime"
"292",2016-10-18 00:30:00,98.9039329464862,"BTC","world","web",0,52,2016-10-17
"293",2016-10-19 00:30:00,98.9039329464862,"BTC","world","web",0,52,2016-10-18
"294",2016-10-20 00:30:00,98.9039329464862,"BTC","world","web",0,52,2016-10-19
"295",2016-10-21 00:30:00,98.9039329464862,"BTC","world","web",0,52,2016-10-20
"296",2016-10-22 00:30:00,100.805931656995,"BTC","world","web",0,53,2016-10-21
"297",2016-10-23 00:30:00,93.1979368149581,"BTC","world","web",0,49,2016-10-22
"298",2016-10-24 00:30:00,116.02192134107,"BTC","world","web",0,61,2016-10-23
"299",2016-10-25 00:30:00,106.511927788524,"BTC","world","web",0,56,2016-10-24
"300",2016-10-26 00:30:00,112.217923920052,"BTC","world","web",0,59,2016-10-25
"301",2016-10-27 00:30:00,119.825918762089,"BTC","world","web",0,63,2016-10-26
"302",2016-10-28 00:30:00,116.02192134107,"BTC","world","web",0,61,2016-10-27
"303",2016-10-29 00:30:00,127.433913604126,"BTC","world","web",0,67,2016-10-28
"304",2016-10-30 00:30:00,106.511927788524,"BTC","world","web",0,56,2016-10-29
"305",2016-10-31 00:30:00,110.315925209542,"BTC","world","web",0,58,2016-10-30
"306",2016-11-01 00:30:00,121.727917472598,"BTC","world","web",0,64,2016-10-31
"307",2016-11-02 00:30:00,119.825918762089,"BTC","world","web",0,63,2016-11-01
"308",2016-11-03 00:30:00,131.237911025145,"BTC","world","web",0,69,2016-11-02
"309",2016-11-04 00:30:00,123.629916183108,"BTC","world","web",0,65,2016-11-03
"310",2016-11-05 00:30:00,102.707930367505,"BTC","world","web",0,54,2016-11-04
"311",2016-11-06 00:30:00,95.0999355254674,"BTC","world","web",0,50,2016-11-05
"312",2016-11-07 00:30:00,123.629916183108,"BTC","world","web",0,65,2016-11-06
"313",2016-11-08 00:30:00,112.217923920052,"BTC","world","web",0,59,2016-11-07
"314",2016-11-09 00:30:00,154.061895551257,"BTC","world","web",0,81,2016-11-08
"315",2016-11-10 00:30:00,116.02192134107,"BTC","world","web",0,61,2016-11-09
"316",2016-11-11 00:30:00,110.315925209542,"BTC","world","web",0,58,2016-11-10
"317",2016-11-12 00:30:00,104.609929078014,"BTC","world","web",0,55,2016-11-11
"318",2016-11-13 00:30:00,104.609929078014,"BTC","world","web",0,55,2016-11-12
"319",2016-11-14 00:30:00,106.511927788524,"BTC","world","web",0,56,2016-11-13
"320",2016-11-15 00:30:00,121.727917472598,"BTC","world","web",0,64,2016-11-14
"321",2016-11-16 00:30:00,127.433913604126,"BTC","world","web",0,67,2016-11-15
"322",2016-11-17 00:30:00,123.629916183108,"BTC","world","web",0,65,2016-11-16
"323",2016-11-18 00:30:00,131.237911025145,"BTC","world","web",0,69,2016-11-17
"324",2016-11-19 00:30:00,136.943907156673,"BTC","world","web",0,72,2016-11-18
"325",2016-11-20 00:30:00,106.511927788524,"BTC","world","web",0,56,2016-11-19
"326",2016-11-21 00:30:00,110.315925209542,"BTC","world","web",0,58,2016-11-20
"327",2016-11-22 00:30:00,110.315925209542,"BTC","world","web",0,58,2016-11-21
"328",2016-11-23 00:30:00,110.315925209542,"BTC","world","web",0,58,2016-11-22
"329",2016-11-24 00:30:00,129.335912314636,"BTC","world","web",0,68,2016-11-23
"330",2016-11-25 00:30:00,129.335912314636,"BTC","world","web",0,68,2016-11-24
"331",2016-11-26 00:30:00,114.119922630561,"BTC","world","web",0,60,2016-11-25
"332",2016-11-27 00:30:00,91.2959381044488,"BTC","world","web",0,48,2016-11-26
